Run,Age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,strain
SRR1511685,2-3 months old,RNA-Seq,50,48569500,PRJNA254994,SAMN02907251,36008875,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649378,GSM1433173,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433173,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1511686,2-3 months old,RNA-Seq,50,92599450,PRJNA254994,SAMN02907252,67537912,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649379,GSM1433174,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433174,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1511687,2-3 months old,RNA-Seq,50,85525700,PRJNA254994,SAMN02907253,61319942,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649380,GSM1433175,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433175,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1511688,2-3 months old,RNA-Seq,50,93493800,PRJNA254994,SAMN02907254,67435764,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649381,GSM1433176,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433176,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1511689,2-3 months old,RNA-Seq,50,97432450,PRJNA254994,SAMN02907255,70781749,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649382,GSM1433177,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433177,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1511690,2-3 months old,RNA-Seq,50,84898100,PRJNA254994,SAMN02907256,62135976,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649383,GSM1433178,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433178,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1511691,2-3 months old,RNA-Seq,50,81078700,PRJNA254994,SAMN02907257,59110128,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649384,GSM1433179,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433179,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1511692,2-3 months old,RNA-Seq,50,144593700,PRJNA254994,SAMN02907258,103356773,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649385,GSM1433180,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433180,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1511693,2-3 months old,RNA-Seq,50,124274850,PRJNA254994,SAMN02907259,88568863,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649386,GSM1433181,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433181,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1511694,2-3 months old,RNA-Seq,50,106240050,PRJNA254994,SAMN02907260,76045238,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649387,GSM1433182,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433182,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1511695,2-3 months old,RNA-Seq,50,141266500,PRJNA254994,SAMN02907261,100372237,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649388,GSM1433183,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433183,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1511696,2-3 months old,RNA-Seq,50,126148750,PRJNA254994,SAMN02907262,90384540,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649389,GSM1433184,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433184,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1511697,2-3 months old,RNA-Seq,50,117402650,PRJNA254994,SAMN02907263,84380249,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649390,GSM1433185,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433185,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1511698,2-3 months old,RNA-Seq,50,79860150,PRJNA254994,SAMN02907265,58783631,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649391,GSM1433186,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433186,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1511699,2-3 months old,RNA-Seq,50,109748550,PRJNA254994,SAMN02907266,77825188,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649392,GSM1433187,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433187,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1511700,2-3 months old,RNA-Seq,50,113663450,PRJNA254994,SAMN02907267,82258016,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649393,GSM1433188,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433188,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1511701,2-3 months old,RNA-Seq,50,104862200,PRJNA254994,SAMN02907268,75591978,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649394,GSM1433189,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433189,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1511702,2-3 months old,RNA-Seq,50,114406700,PRJNA254994,SAMN02907269,82807456,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649395,GSM1433190,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433190,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1511703,2-3 months old,RNA-Seq,50,83977050,PRJNA254994,SAMN02907270,61714706,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649396,GSM1433191,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433191,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1511704,2-3 months old,RNA-Seq,50,100062550,PRJNA254994,SAMN02907271,71851506,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649397,GSM1433192,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433192,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1511705,2-3 months old,RNA-Seq,50,116657550,PRJNA254994,SAMN02907010,83522334,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649398,GSM1433193,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433193,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1511706,2-3 months old,RNA-Seq,50,117320400,PRJNA254994,SAMN02907264,84458743,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649399,GSM1433194,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433194,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1511707,2-3 months old,RNA-Seq,50,112847900,PRJNA254994,SAMN02907012,81924524,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649400,GSM1433195,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433195,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1511708,2-3 months old,RNA-Seq,50,130559650,PRJNA254994,SAMN02907014,94062191,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649401,GSM1433196,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433196,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1511709,2-3 months old,RNA-Seq,50,123797350,PRJNA254994,SAMN02907016,89205849,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649402,GSM1433197,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433197,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1511710,2-3 months old,RNA-Seq,50,120626200,PRJNA254994,SAMN02907018,86500273,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649403,GSM1433198,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433198,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1511711,2-3 months old,RNA-Seq,50,104385100,PRJNA254994,SAMN02907020,73963293,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649404,GSM1433199,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433199,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1511712,2-3 months old,RNA-Seq,50,123922100,PRJNA254994,SAMN02907022,89610416,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649405,GSM1433200,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433200,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1511713,2-3 months old,RNA-Seq,50,104969750,PRJNA254994,SAMN02907024,75482275,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649406,GSM1433201,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433201,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1511714,2-3 months old,RNA-Seq,50,9198850,PRJNA254994,SAMN02907026,6806685,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649407,GSM1433202,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433202,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1511715,2-3 months old,RNA-Seq,50,90089800,PRJNA254994,SAMN02907028,64819277,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649408,GSM1433203,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433203,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1511716,2-3 months old,RNA-Seq,50,130756650,PRJNA254994,SAMN02907030,93970411,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649409,GSM1433204,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433204,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1511717,2-3 months old,RNA-Seq,50,112435350,PRJNA254994,SAMN02907033,80601609,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649410,GSM1433205,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433205,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1511718,2-3 months old,RNA-Seq,50,98109900,PRJNA254994,SAMN02907037,70787176,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649411,GSM1433206,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433206,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1511719,2-3 months old,RNA-Seq,50,110736800,PRJNA254994,SAMN02907039,79321291,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649412,GSM1433207,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433207,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1511720,2-3 months old,RNA-Seq,50,107576500,PRJNA254994,SAMN02907042,77589393,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649413,GSM1433208,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433208,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1511721,2-3 months old,RNA-Seq,50,95733600,PRJNA254994,SAMN02907045,69442275,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649414,GSM1433209,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433209,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1511722,2-3 months old,RNA-Seq,50,104956000,PRJNA254994,SAMN02907048,75415899,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649415,GSM1433210,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433210,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1511723,2-3 months old,RNA-Seq,50,73817250,PRJNA254994,SAMN02907051,52911587,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649416,GSM1433211,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433211,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1511724,2-3 months old,RNA-Seq,50,95974150,PRJNA254994,SAMN02907054,69205460,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649417,GSM1433212,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433212,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1511725,2-3 months old,RNA-Seq,50,79665200,PRJNA254994,SAMN02907057,57199863,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649418,GSM1433213,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433213,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1511726,2-3 months old,RNA-Seq,50,115812550,PRJNA254994,SAMN02907060,83186371,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649419,GSM1433214,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433214,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1511727,2-3 months old,RNA-Seq,50,5733300,PRJNA254994,SAMN02907063,4243882,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649420,GSM1433215,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433215,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1511728,2-3 months old,RNA-Seq,50,116753350,PRJNA254994,SAMN02907066,83591874,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649421,GSM1433216,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433216,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1511729,2-3 months old,RNA-Seq,50,110165450,PRJNA254994,SAMN02907068,78748049,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649422,GSM1433217,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433217,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
SRR1511730,2-3 months old,RNA-Seq,50,75366550,PRJNA254994,SAMN02907069,55900466,long term hematopoietic stem cell,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX649423,GSM1433218,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-30T00:00:00Z,GSM1433218,hematopoietic stem and progenitor cells,SRP044256,C57BL/6
